SampleID	X	Y	Size	Estimation.Type	fore_Green	back_Green	fore_Red	back_Red	Signal.to.Noise	Pvalue	FDR	Out.Index	Other.Spots	Cells
1772-067-038_A01	171	281	17	Fluorescence-based	37.92926	22.58029	51.09841	13.15817	1.879605	1.57E-04	3.29E-04	confidence	0	1
1772-067-038_A02	172	251	24	Fluorescence-based	409.22872	22.7765	139.09304	13.13108	4.10882	9.67E-06	3.52E-05	confidence	0	1
1772-067-038_A03	177	286	22	Fluorescence-based	38.11381	22.78059	64.05029	13.25325	2.19026485	2.14E-05	6.47E-05	confidence	0	1
1772-067-038_A04	165	286	16	Fluorescence-based	60.26208	22.73695	61.7218	13.29747	2.13320648	2.40E-04	4.72E-04	confidence	0	1
1772-067-038_A05	163	252	49	Chip.Pattern-based	24.74170007	22.7581626	14.11541586	13.19133076	0.115684072	0.999999999	1	confidence	0	0
1772-067-038_A06	163	281	49	Chip.Pattern-based	22.89043762	22.76668552	14.79765083	13.14291825	0.159630204	0.999999985	1	confidence	0	0
1772-067-038_A07	168	246	11	Fluorescence-based	32.10303	22.76881	34.697	13.31745	1.31802823	1.89E-03	3.10E-03	confidence	0	1
1772-067-038_A08	168	279	31	Fluorescence-based	45.7972	22.78189	154.08241	13.27552	3.44142022	6.13E-07	3.99E-06	confidence	0	1
1772-067-038_A09	174	249	14	Fluorescence-based	247.225	23.07994	150.74545	13.40055	3.39745797	5.41E-04	9.81E-04	confidence	0	1
1772-067-038_A10	161	247	15	Fluorescence-based	40.9882	23.21305	37.40808	12.96968	1.45911109	3.62E-04	6.79E-04	confidence	0	1
1772-067-038_A11	159	277	26	Fluorescence-based	33.52328	22.91219	97.76044	13.38249	2.77961945	4.39E-06	1.91E-05	confidence	0	1
1772-067-038_A12	160	245	24	Fluorescence-based	161.82927	22.96314	212.22951	13.14459	3.91408485	9.67E-06	3.52E-05	confidence	0	1
1772-067-038_B01	170	274	21	Fluorescence-based	83.83319	22.67653	19.93947	12.99301	1.84117119	3.19E-05	8.73E-05	confidence	0	1
1772-067-038_B02	169	246	25	Fluorescence-based	37.31572	22.56073	73.60443	13.25664	2.38762692	6.49E-06	2.64E-05	confidence	0	1
1772-067-038_B03	170	277	11	Fluorescence-based	182.37411	23.08547	16.26006	13.37225	2.92855468	1.91E-03	3.13E-03	confidence	0	1
1772-067-038_B04	160	274	18	Fluorescence-based	122.44692	22.97744	188.40504	13.1191	3.7457544	1.07E-04	2.36E-04	confidence	0	1
1772-067-038_B05	160	238	20	Fluorescence-based	154.30703	23.05661	16.35426	13.10018	2.6906182	4.74E-05	1.19E-04	confidence	X = 160, Y = 238 (Green) | X = 475, Y = 503 (Red)	1
